 news.128.t:0 "La caída de Berlín"
 war_justification.8.t:0 "[Root.GetLeader] llama para aplastar el nacionalismo [From.GetAdjective]. "
 war_justification.8.d:0 "\\'¿Hay alguna sociedad más repugnante al futuro de la revolución, más ajena a la situación del trabajador, que el régimen fascista de [From.GetName]? Exhortando al pueblo a dedicarse fanáticamente a la decrépita institución del estado-nación, han vestido las antiguas formas de barbarie en un traje moderno, tratando de presentarse como una alternativa futura a la inevitable victoria internacional de la clase obrera. Es sólo cuestión de tiempo hasta que golpean contra nosotros o nuestros aliados. Ataquemos primero.\\'\n\nNo se espera menos de desprecio mutuo entre nosotros y los [From.GetAdjective], pero la enemistad se ha intensificado últimamente. Ahora parece que los conflictos surgirán más temprano que tarde. "
 war_justification.8.a:0 "¡Muerte a los fascistas!"
 war_justification.9.t:0 "Se rompe la diplomacia con [From.GetName] "
 war_justification.9.d:0 ""A pesar de nuestros intentos de encontrar una solución diplomática a nuestro conflicto con [From.GetName], las negociaciones han roto una vez más, dejándonos con opciones limitadas. El autoritario régimen de [From.GetLeader] ha demostrado el planteamiento excesivo a esta cuestión típica de los líderes que no son responsables antes de su gente. Salvo un giro completo en las políticas de liderazgo [From.GetAdjective], no nos quedará ningún recurso más que luchar."\n\nLa intervención [Root.GetAdjective] en [From.GetName] ha sido un tema candente, con algunos políticos de la oposición alegando que [Root.GetRulingParty] ha llevado a cabo una política belicista desde el principio. Independientemente de su intención original, una futura guerra ahora parece de repente muy cierta e inevitable. "
 war_justification.9.a:0 "A veces se necesita subir a la montaña del conflicto. "
 war_justification.10.t:0 "[Root.GetLeader] llama a intervenir en [From.GetName]"
 war_justification.10.d:0 ""Con el corazón afligido nos debemos enfrentar a la realidad de nuestra situación: una invasión de [From.GetName] puede ser nuestro único recurso. Es una ventaja estratégica demasiado grande para intentar cualquier otra solución en nuestra situación actual. Aunque estamos seguros que el pueblo [Root.GetAdjective] ni el [From.GetAdjective] quiere la guerra, la historia nos ha llevado a este punto y nuestras opciones son limitadas. Sólo podemos esperar que, a través de esta afirmación de nuestro poderío militar, podamos evitar un mayor derramamiento de sangre en el futuro."\n\n Aunque es una teoría popular que las democracias no van a la guerra contra otras democracias, los acontecimientos recientes han señalado a una invasión [Root.GetAdjective] de [From.GetName] en el futuro. La historia aún puede sorprendernos. "
 war_justification.10.a:0 "[From.GetName] es una democracia dudosa de todos modos. "
 war_justification.11.t:0 "[Root.GetLeader] habla contra la Amenaza Roja"
 war_justification.11.d:0 ""Sin dudas, el comunismo de [From.GetName] es una de las mayores amenazas a la libertad y el orden en esta época. Implacable y despiadado, amenaza con devorar no sólo la esperanza del pueblo [From.GetAdjective] de un próspera sociedad democrática, sino la de sus vecinos. Si no actuamos ahora, bien podemos ver caer esta primera pieza de dominó demasiado tarde, dejando más experimentos sociales en su estela. ¿Cuántos más deben morir antes de intervenir?"\n\nLa amenaza de actividad subversiva que socava nuestra democracia, alimentada por ambiciones [From.GetAdjective],se ha convertido en un tema acaloradamente debatido recientemente. Mientras que representantes de la oposición han llamado a esto el Susto Rojo, destinado a buscar la guerra con [From.GetName], la retórica del [Root.GetRulingParty] ha tenido éxito hasta ahora. "
 war_justification.11.a:0 "Siguen una ideología violenta, ¿qué reacción pueden esperar sino la violencia?"
 war_justification.12.t:0 "[Root.GetLeader] se enfrenta al fascismo [From.GetAdjective]"
 war_justification.12.d:0 ""En la historia moderna, tal vez incluso en toda la historia, no ha habido peor tiranía que la garra de hierro en que  el [From.GetRulingParty] tiene ahora sobre [From.GetName]. La gente pueden argumentar que no deberíamos provocar conflictos, que debemos confiar en [From.GetLeader] para que cumpla tratados y promesas en el futuro, pero esta gente no ve que los tratados hechos bajo el reinado del fascismo son inútiles. Para estos mentirosos sin honor, sólo cuenta la fuerza y el papel en el que se escriben los tratados arde tan fácilmente arde como los libros de sus detractores."\n\nLa gente que había esperado mucho tiempo evitar una confrontación directa con [From.GetName] ahora están completamente opuestas a [Root.GetLeader], que sostiene que en términos maquiavélicos solo estamos aplazando la guerra para dar ventaja al enemigo. A estas alturas, ya podríamos dar el primer golpe de todos modos. "
 war_justification.12.a:0 "No puede haber paz en nuestro tiempo, hasta que no hayan desaparecido."
 war_justification.13.t:0 "[Root.GetLeader] llama a la guerra contra [From.GetName]"
 war_justification.13.d:0 "\\'Aunque seamos un pueblo pacífico, nuestra naturaleza sola no determina el curso que debemos tomar en la historia. Este es un momento de guerra. Durante mucho tiempo, los [From.GetAdjective] han poseído los medios que necesitamos para superar las pruebas a las que nos enfrentaremos, y es  evidente que ellos no se librarán de ellos pacíficamente. A pesar de nuestros mejores esfuerzos para construir un estado moderno, algunas cuestiones pueden sólo resolverse a través de los viejos juicios de combate.\\'\n\nLa retórica hostil de [Root.GetLeader] a [From.GetName] ha realizado grandes esfuerzos para justificar una invasión. Una parte de la población aprueba este rumbo, pero la decisión se encuentra en las manos de nuestro líder. "
 war_justification.13.a:0 "Puede ser una decisión difícil, pero tenemos que apoyarla."
 war_justification.14.t:0 "[Root.GetLeader] desafía las pretensiones [From.GetAdjective]"
 war_justification.14.d:0 "\\'[From.GetName] puede pensar que son más modernos y avanzados que nosotros, pero la verdad es que su nación no ha sido probada como la nuestra, ni están preparados para las amenazas, ahora evidentes en el horizonte. Por su desdén hacia nosotros, impidiendo que tomemos lo que legítimamente nos pertenece, nos han convertido en una amenaza hacia ellos. Su débil y dividida nación difícilmente resistirá nuestros exigencias.\\'\n\nLa burlona opinión de [From.GetName], largamente sostenida por el [Root.GetRulingParty] ha pasado de la crítica a la hostilidad. Aunque la opinión popular es que el pueblo [From.GetAdjective] quiere evitar la guerra, [Root.GetLeader] afirma que sus líderes electos la han provocado mediante su arrogancia. "
 war_justification.14.a:0 "No saben cuán fuertes nos han hecho nuestros sufrimientos. "
 war_justification.15.t:0 "[Root.GetLeader] quiere restablecer el orden en [From.GetName]"
 war_justification.15.d:0 ""El espíritu nacional [Root.GetAdjective] es fuerte, pero no todas las naciones son tan afortunadas. [From.GetName] ha visto sus tradiciones destruidas, sus gobernantes legítimos desde hace mucho asesinados y enterrados en nombre de la idea de la gran revolución marxista. Es nuestro deber restablecer el orden en este mundo descarriado por usurpadores sedientos de sangre y hacer valer la fuerza de [Root.GetName] contra esta amenaza."\n\nEl [Root.GetRulingParty] siempre se ha opuesto al comunismo y [From.GetName] siempre ha sido objetivo de ataques particulares en discursos recientes. Si el ataque comunista a la nación [Root.GetAdjective] es una amenaza real o no, el ataque preventivo al comunismo [From.GetAdjective] ya está en marcha. "
 war_justification.15.a:0 "¡Los asesinados en la revolución serán vengados!"
 war_justification.16.t:0 "[Root.GetLeader] denuncia a los opresores [From.GetAdjective]"
 war_justification.16.d:0 ""Mis oponentes creen que mi gobierno es como la del [From.GetRulingParty] de [From.GetName]. No pueden estar más equivocados. Mientras que los logros de [From.GetLeader] son el resultado de una reciente moda, un movimiento de masas destructor que intimida a otras naciones a la sumisión, el [Root.GetRulingParty] se opone a ese movimiento como uno que no cederá. Estoy dispuesto a hacer lo que sea necesario para eliminar esta amenaza, incluso si esto significa guerra."\n\n El régimen de [Root.GetLeader] ha adoptado una política hostil hacia la nación [From.GetAdjective]. Sea como sea cómo llamemos a nuestros líderes, fascista es una palabra reservada a nuestros enemigos"
 war_justification.16.a:0 "Tradición y pragmatismo siempre triunfará sobre fanatismo y terror."
 war_justification.17.t:0 "[Root.GetLeader] cuestiona a [From.GetAdjective]soberanía"
 war_justification.17.d:0 "\\'¿Que determina las fronteras de una nación y cómo se determina? No importa cómo la gente haya buscado en el pasado para justificar donde termina [Root.GetName] y empieza [From.GetName], vivimos en una nueva era. No se puede subestimar la importancia estratégica de esta frontera, y es nuestro derecho cambiarla para garantizar la continua seguridad de nuestro pueblo.\\'\n\nEscuchando discursos recientes de [Root.GetLeader], una invasión de [From.GetName] parece inminente. Voces disidentes se han opuesto, pero apoyo público a la guerra va en aumento. "
 war_justification.17.a:0 "¡Debemos unirnos tras esta causa!"
 war_justification.18.t:0 "[Root.GetLeader] cuestiona los motivos de [From.GetName]"
 war_justification.18.d:0 ""No hay duda que [From.GetName] se prepara para la guerra. Los cambios en la política económica hacen evidente que [From.GetAdjective] no son gente de paz, sino que más bien esperan la oportunidad propicia para golpearnos. ¿Permaneceremos de brazos cruzados viendo cómo se arman mienras [Root.GetName] permanece indefensa? ¿O desarmaremos esta amenaza antes de que crezca más allá de nuestro poder?"\n\nLos belicistas del [Root.GetRulingParty] han vuelto sus ojos hacia [From.GetName], argumentando que el ataque es la mejor defensa. Su punto de vista está ganando tirón y [Root.GetName] se prepara para la guerra."
 war_justification.18.a:0 "Por lo menos habrá un fin a este conflicto, aunque mediante la guerra."
 war_justification.19.t:0 "[Root.GetLeader] encolerizado por la postura [From.GetAdjective]"
 war_justification.19.d:0 ""Los ciudadanos ingenuos de [Root.GetName] que imaginan a los [From.GetAdjective] como gente de paz están completamente desconectados con la realidad. Los que viven en la frontera no tienen el lujo de tales ilusiones, viendo cómo sus tropas se acercan sobre nosotros justo al otro lado. Se trata de una amenaza que no podemos dejar sin respuesta. Con cada día que pasa, [From.GetName] se prepara para la guerra. Sería una locura que no hiciéremos lo mismo."\n\nLa presencia militar [From.GetAdjective] cerca de nuestro territorio ha despertado mayor preocupación dado que esta nación parece cada vez más a ser el enemigo del [Root.GetRulingParty]. Es discutible si es la causa o el efecto de su polémica. "
 war_justification.19.a:0 "Sin embargo, debemos preparar el pueblo para la guerra."
 war_justification.20.t:0 "[Root.GetLeader] Aboga por invasión de [From.GetName]"
 war_justification.20.d:0 ""Si queremos tener la ventaja estratégica en la guerra previsible, por no decir inevitable con [From.GetName], no hay sitio para la duda. Se trata de asegurar el futuro de nuestros hijos y que [Root.GetName] tiene un lugar en el mundo del mañana. Se trata de un asunto de devoción a nuestra causa y los ideales que damos por sentado. Es hora de actuar."\n\nUna serie de discursos alborotadores de líderes del [Root.GetRulingParty], destacando [Root.GetLeader], han estado llamando al público a apoyar la invasión de [From.GetName]. Los motivos geopolíticos de la invasión son menos prominentes en la retórica al sentimiento patriótico, pero esta campaña aparece altamente eficaz para convencer al público de su necesidad."
 war_justification.20.a:0 "La nación está detrás de esta importante decisión."
 war_justification.201.t:0 "[From.GetLeader] habla en contra [Root.GetName]"
 war_justification.201.d:1 ""¿[Root.GetName] pertenece a los [Root.GetAdjective]? Preguntémonos mejor: ¿el futuro pertenece a [Root.GetAdjective]? Mientras nosotros nos esforzamos por la grandeza y poder, ellos no han mostrado más que una actitud irremediablemente temerosa. No tienen una historia de la que enorgullecerse, no tienen rumbo. ¿Por qué deben ocupar tierras que pueden ser de utilidad al gran pueblo [Root.GetAdjective]?"\n\nLas ambiciones belicistas de  [From.GetLeader] se han vuelto contra nosotros, lanzando una serie de discursos agresivos sugirindo que los fascistas de [From.GetName] pronto marcharán sobre el suelo de [Root.GetName]."
 war_justification.201.a:0 "¿Por qué no podemos vivir en paz?"
 war_justification.202.t:0 "[From.GetLeader] denuncia los ideales [Root.GetAdjective]"
 war_justification.202.d:1 ""[Root.GetAdjective] afirman tener libertad y democracia, afirman que quieren la paz, pero todas estas cosas de las que se enorgullecen son huecas. Su democracia divide a la gente donde debería estar unida, su libertad no es la libertad para que el fuerte logre la grandeza, sino la del débil para seguir siendo mediocre. Los [From.GetAdjective] vemos a través de estas mentiras... y podemos ver que esta paz, paz en sus términos, es también una mentira."\n\nEl [From.GetRulingParty] lleva tiempo ridiculizando la debilidad de la nación [Root.GetName], pero últimamente la retórica se ha vuelto más agresiva. El día de los conflictos armados se acerca cada vez más."
 war_justification.202.a:0 "Era de esperar de escoria fascista como [From.GetLeader]."
 war_justification.203.t:0 "[From.GetLeader]Advierte contra el comunismo [Root.GetAdjective]"
 war_justification.203.d:1 ""¿Hay una mayor amenaza a nuestra forma de vida, o incluso la vida misma, que el comunismo? Esta plaga que amenaza con hacer que los esclavos, no los amos, gobiernen toda nación, para abolir a la propia nación, abolir al pueblo y su historia. No es de extrañar que el manso pueblo [Root.GetAdjective] se haya entregado a tales modos para justificar su debilidad, sin embargo recae sobre nosotros liberar a su nación de esto."\n\nOdio de [From.GetLeader] de los comunistas ha sido bien conocido desde antes del ascenso de  del [From.GetRulingParty] ak poder, pero parece que se ha intensificado recientemente en el caso específico de nuestro gobierno revolucionario. Su misión de aplastar la liberación internacional de los trabajadores puede empezar aquí. "
 war_justification.203.a:0 "Si temen a nuestra causa, temen a su propio pueblo."
 war_justification.204.t:0 "[From.GetName] se prepara para la gran lucha"
 war_justification.204.d:1 ""Los [Root.GetAdjective] son un pueblo orgulloso, como nosotros, que no se puede separar fácilmente del poder. Sin embargo, deben también darse cuenta que el poder es lo que determina en última instancia la victoria y que la trayectoria de nuestras grandes civilizaciones sólo puede terminar en enfrentamiento. Armaos de valor para la lucha, jóvenes de [From.GetName], pues [Root.GetName] no será conquistada sin derramar sangre tanto nuestra como de nuestros enemigos."\n\nLa posibilidad de un entendimiento entre gobiernos con mentalidad similar como los de [Root.GetName] y [From.GetName]ha dado paso a una campaña para tomar nuestro territorio por la fuerza. A pesar de su hostilidad[From.GetLeader] no puede evitar alabar nuestro legado incluso en un discurso despotricando contra nosotros. "
 war_justification.204.a:0 "¡Que vengan!"
 war_justification.205.t:0 "[From.GetLeader] lleva la revolución a [Root.GetName]"
 war_justification.205.d:0 "\\'Mientras que hemos consolidado la sociedad socialista en [From.GetName], muchas naciones aún sufren bajo los viejos déspotas. Los trabajadores de [Root.GetName] no tienen voz, medios de organizarse, y cualquier intento de instituir el socialismo será aplastada salvajemente por el régimen de [Root.GetLeader]. No podemos esperar que a que los engranajes la revolución internacional giren para el pueblo [Root.GetAdjective]. Con la revolución hemos demostrado que podemos aplastar a los opresores capitalistas aquí, y también aplastaremos a los opresores en [Root.Capital.GetName]!\\'\n\n[From.GetLeader] ha abandonado todos los intentos de diplomacia hacia nuestro gobierno. La lucha por erradicar todas las fronteras ahora está estrictamente centradas en erradicar las nuestras."
 war_justification.205.a:0 "¡[Root.GetLeader]es mejor gobernante que cualquier oportunista revolucionario!"
 war_justification.206.t:0 "[From.GetLeader] llama a ayudar a os trabajadores [Root.GetAdjective]"
 war_justification.206.d:0 "\\'¿Existe una mentira mayor que la supuesta libertad del pueblo [Root.GetAdjective]? Una vez esclavizado bajo los príncipes y duques que reclamaban la propiedad de la tierra, ahora se ven obligados a vender su trabajo a los que reclaman la propiedad de las fábricas. Su libertad de elegir a un amo de otro apenas puede llamarse libertad. Asimismo, su libertad para elegir a sus dirigentes es una opción falsa, pues la propaganda nunca permitiría que los verdaderos socialistas tomasen el poder. Un pueblo tan bien adoctrinado sólo puede ser salvado por una intervención [From.GetAdjective]\\.'\n\nIncapaz de aceptar que nuestro pueblo pueda estar satisfecho sin sus experimentos sociales, el régimen comunista de [From.GetName] ha amenazado abiertamente a nuestra nación con un ataque. No hay motivo para creer que este conflicto pueda resolverse pacíficamente."
 war_justification.206.a:0 "¿Qué mérito pueden tener sus convicciones si tienen que forzarnos a aceptarlas?"
 war_justification.207.t:0 "[Root.GetAdjective] comunismo fracasa"
 war_justification.207.d:0 ""Camaradas, aunque los mayores revolucionarios fueron una vez llamados traidores, es evidente que la revolución en sí misma  ha sido traicionada. ¿Cómo sino explicamos el gobierno del [Root.GetRulingParty] de [Root.GetName], quién han dejado a lado todo atisbo de ideas marxistas para construir un estado degenerado de los trabajadores donde puede mandar bajo premisas falsas? En el fortalecimiento de su propio poder al precio de la revolución internacional, han demostrado lo poco que se preocupan poco por los ideales que pretenden tener. Debemos llevarles la verdadera revolución."\n\nAunque al principio apoyaba la victoria de [Root.GetRulingParty] en [Root.Capital.GetName], [From.GetLeader] se ha ido desviando de la filosofía de [Root.GetLeader]. El conflicto ha escalado hasta el punto en el que están preparando para invadir para imponer su versión de socialismo sobre nosotros."
 war_justification.207.a:0 "No entienden lo que significa la revolución para el pueblo [Root.GetAdjective]."
 war_justification.208.t:0 "[From.GetLeader] llama para aplastar el nacionalismo [Root.GetAdjective]"
 war_justification.208.d:0 ""¿Hay alguna sociedad más repugnante al futuro de la revolución, más ajena a la situación del trabajador, que el régimen fascista de [Root.GetName]? Exhortando al pueblo a dedicarse fanáticamente a la decrépita institución del estado-nación, han vestido las antiguas formas de barbarie en un traje moderno, tratando de presentarse como una alternativa futura a la inevitable victoria internacional de la clase obrera. Es sólo cuestión de tiempo hasta que golpean contra nosotros o nuestros aliados. Ataquemos primero."\n\nNo se espera menos que desprecio mutuo entre nosotros y los [From.GetAdjective], pero la enemistad se ha intensificado últimamente. Ahora parece que el conflicto surgirán antes o después."
 war_justification.208.a:0 "¡Muerte a los comunistas!"
 war_justification.209.t:0 "Se rompe la diplomacia con [Root.GetName] "
 war_justification.209.d:0 ""A pesar de nuestros intentos de encontrar una solución diplomática a nuestro conflicto con [Root.GetName], las negociaciones han roto una vez más, dejándonos con opciones limitadas. El autoritario régimen de [Root.GetLeader] ha demostrado el acercamiento excesivo a esta cuestión, típico de los líderes que no son responsables ante su gente. Salvo un giro completo en las políticas de los líderes [Root.GetAdjective], no nos quedará más recurso que luchar."\n\nLa intervención [From.GetAdjective] en [From.GetRulingParty] ha sido un tema candente, con algunos políticos de la oposición alegando que [From.GetRulingParty] ha llevado a cabo una política belicista desde el principio. Independientemente de su intención original, una futura guerra ahora parece de repente muy cierta e inevitable."
 war_justification.209.a:0 "Su retórica condescendiente no nos intimidará."
 war_justification.210.t:0 "[From.GetLeader] llama a intervención en [Root.GetName]"
 war_justification.210.d:0 ""Con el corazón afligido nos debemos enfrentar a la realidad de nuestra situación: una invasión de [Root.GetName] puede ser nuestro único recurso. Es una ventaja estratégica demasiado grande para intentar cualquier otra solución en nuestra situación actual. Aunque estamos seguros que ni pueblo [From.GetAdjective] ni el [Root.GetAdjective] quiere la guerra, la historia nos ha llevado a este punto y nuestras opciones son limitadas. Sólo podemos esperar que, a través de esta afirmación de nuestro poderío militar, podamos evitar un mayor derramamiento de sangre en el futuro."\n\n Aunque es una teoría popular que las democracias no van a la guerra contra otras democracias, los acontecimientos recientes han señalado una invasión [Root.GetAdjective] de [From.GetName] en el futuro. La historia aún puede sorprendernos."
 war_justification.210.a:0 "[From.GetName] es una democracia dudosa de todos modos, buscando tal acción agresiva."
 war_justification.211.t:0 "[From.GetLeader] habla contra la Amenaza Roja"
 war_justification.211.d:0 ""Sin dudas, el comunismo de [Root.GetName] es una de las mayores amenazas a la libertad y el orden en esta época. Implacable y despiadado, amenaza con devorar no sólo la esperanza del pueblo [Root.GetAdjective] de un próspera sociedad democrática, sino la de sus vecinos. Si no actuamos ahora, bien podemos ver caer esta primera pieza de dominó demasiado tarde, dejando más experimentos sociales en su estela. ¿Cuántos más deben morir antes de intervenir?"\n\nEl incipiente movimiento de los trabajadores ha intimidado a los líderes [From.GetAdjective]. Aunque representantes de la oposición han llamado a esto el Susto Rojo, destinado a buscar la guerra con nosotros, la retórica del [From.GetRulingParty] ha tenido éxito hasta ahora."
 war_justification.211.a:0 "Mientras se puedan conseguir beneficios, los capitalistas se encargarán de fabricar una guerra."
 war_justification.212.t:0 "[From.GetLeader] se enfrente al fascismo [Root.GetAdjective]"
 war_justification.212.d:0 "\\'En la historia moderna, tal vez incluso en toda la historia , no ha habido peor tiranía que la garra de hierro en que el [Root.GetRulingParty] tiene ahora sobre [Root.GetName]. La gente pueden argumentar que no deberíamos provocar conflictos, que debemos confiar en [Root.GetLeader] para que cumpla tratados y promesas en el futuro, pero esta gente no ve que los tratados hechos bajo el reinado del fascismo son inútiles. Para estos mentirosos sin honor, sólo cuenta la fuerza y el papel en el que se escriben los tratados arde tan fácilmente arde como los libros de sus detractores.\\'\n\nCeloso de la gloriosa sociedad que estamos construyendo y el legado en el que se basa, los [From.GetAdjective] parecen dispuestos a iniciar una guerra para destruirlo. Ahí quedan sus pretensiones de paz."
 war_justification.212.a:0 "Inevitable. Mejor acabar con esto de una vez."
 war_justification.213.t:0 "[From.GetLeader] llama a la guerra contra [Root.GetName]"
 war_justification.213.d:0 ""Aunque seamos un pueblo pacífico, nuestra naturaleza sola no determina el curso que debemos tomar en la historia. Este es un momento de guerra. Durante mucho tiempo, los [Root.GetAdjective] han poseído los medios que necesitamos para superar las pruebas a las que nos enfrentaremos, y es evidente que ellos no se librarán de ellos pacíficamente. A pesar de nuestros mejores esfuerzos para construir un estado moderno, algunas cuestiones pueden sólo resolverse a través de los viejos juicios de combate."\n\nLa retórica hostil de [From.GetLeader] hacia [From.GetName] ha realizado grandes esfuerzos para justificar una invasión. Una parte de la población aprueba este rumbo, pero la decisión se encuentra en las manos de su líder."
 war_justification.213.a:0 "Lamentarán hacernos su enemigo."
 war_justification.214.t:0 "[From.GetLeader] desafía las pretensiones [Root.GetAdjective]"
 war_justification.214.d:0 "\\'[Root.GetName] puede pensar que son más modernos y avanzados que nosotros, pero la verdad es que su nación no ha sido probada como la nuestra, ni están preparados para las amenazas, ahora evidentes en el horizonte. Por su desdén hacia nosotros, impidiendo que tomemos lo que legítimamente nos pertenece, nos han convertido en una amenaza hacia ellos. Su débil y dividida nación difícilmente resistirá nuestros exigencias.\\'\n\nLa burlona opinión de [Root.GetName], largamente sostenida por el [From.GetRulingParty] ha pasado de la crítica a la hostilidad. Aunque la opinión popular es que el pueblo [Root.GetAdjective] quiere evitar la guerra, [From.GetLeader] afirma que nuestros líderes electos la han provocado mediante su arrogancia."
 war_justification.214.a:0 "Las voces por la paz entre el pueblo [From.GetAdjective] son, por supuesto, silenciadas."
 war_justification.215.t:0 "[From.GetLeader] quiere restablecer el orden en [Root.GetName]"
 war_justification.215.d:0 ""El espíritu nacional [From.GetAdjective] es fuerte, pero no todas las naciones son tan afortunadas. [Root.GetName] ha visto sus tradiciones destruidas, sus gobernantes legítimos desde hace mucho asesinados y enterrados en nombre de la idea de la gran revolución marxista. Es nuestro deber restablecer el orden en este mundo descarriado por usurpadores sedientos de sangre y hacer valer la fuerza de [From.GetName] contra esta amenaza."\n\nAunque el [From.GetRulingParty] siempre se ha opuesto al comunismo, [Root.GetName] siempre ha sido objetivo de ataques particulares en discursos recientes. Temiendo el progreso inevitable de su nación al siguiente paso de la historia,  el ataque preventivo al comunismo [Root.GetAdjective] ya está en marcha. "
 war_justification.215.a:0 "Es demasiado tarde para revertir el progreso que hemos hecho."
 war_justification.216.t:0 "[From.GetLeader] denuncia a los opresores [Root.GetAdjective]"
 war_justification.216.d:0 ""Mis oponentes creen que mi gobierno es como el del [Root.GetRulingParty] de [Root.GetName]. No pueden estar más equivocados. Mientras que los logros de [Root.GetLeader] son el resultado de una reciente moda, un movimiento de masas destructor que intimida a otras naciones a la sumisión, el [From.GetRulingParty] se opone a ese movimiento como uno que no cederá. Estoy dispuesto a hacer lo que sea necesario para eliminar esta amenaza, incluso si esto significa guerra."\n\nEl régimen de [From.GetLeader] ha adoptado una política hostil hacia la nación [Root.GetAdjective]. Nuestros planes visionarios para la futura grandeza han humillado a su nación y, como era de esperar, se sienten amenazados."
 war_justification.216.a:0 "Si quieren poner a prueba nuestras fuerzas, se arrepentirán"
 war_justification.217.t:0 "[From.GetLeader] cuestiona la soberanía [Root.GetAdjective]"
 war_justification.217.d:0 "\\'¿Que determina las fronteras de una nación y cómo se determina? No importa cómo la gente haya buscado en el pasado para justificar donde termina [From.GetName] y empieza [Root.GetName], vivimos en una nueva era. No se puede subestimar la importancia estratégica de esta frontera, y es nuestro derecho cambiarla para garantizar la continua seguridad de nuestro pueblo.\\'\n\nEscuchando discursos recientes de [From.GetLeader], una invasión de [Root.GetName] parece inminente. Voces disidentes se han opuesto, pero apoyo público a la guerra va en aumento."
 war_justification.217.a:0 "¿El mundo no ha aprendido nada de la Gran Guerra?"
 war_justification.218.t:0 "[From.GetLeader] duda de los motivos de [Root.GetName]"
 war_justification.218.d:0 ""No hay duda que [Root.GetName] se prepara para la guerra. Los cambios en la política económica hacen evidente que los [Root.GetAdjective] no son gente de paz, sino que más bien esperan la oportunidad propicia para golpearnos. ¿Permaneceremos de brazos cruzados viendo cómo se arman mientras [From.GetName] permanece indefensa? ¿O desarmaremos esta amenaza antes de que crezca más allá de nuestro poder?"\n\nLos belicistas del [From.GetRulingParty] han vuelto sus ojos hacia [Rooot.GetName], argumentando que el ataque es la mejor defensa. Su punto de vista está ganando tirón y [From.GetName] se prepara para la guerra. "
 war_justification.218.a:0 "Esto es exactamente, por qué tenemos de estar preparados."
 war_justification.219.t:0 "[From.GetLeader] encolerizado por la postura [Root.GetAdjective]"
 war_justification.219.d:0 ""Los ciudadanos ingenuos de [From.GetName] que imaginan a los [Root.GetAdjective] como gente de paz están completamente desconectados con la realidad. Los que viven en la frontera no tienen el lujo de tales ilusiones, viendo cómo sus tropas se acercan sobre nosotros justo al otro lado. Se trata de una amenaza que no podemos dejar sin respuesta. Con cada día que pasa, [Root.GetName] se prepara para la guerra. Sería una locura que no hiciéremos lo mismo."\n\nNuestra presencia militar cerca del territorio [From.GetAdjective] ha generado mayor preocupación, puesto que interpretan nuestros movimientos de tropa como pruebas de intenciones hostiles. Ni siquiera han considerado que su retórica agresiva es la razón de nuestras medidas defensivas."
 war_justification.219.a:0 "No podemos desarmarnos después de estas amenazas."
 war_justification.220.t:0 "[From.GetLeader] aboga por la invasión de [Root.GetName]"
 war_justification.220.d:0 ""Si queremos tener la ventaja estratégica en la guerra previsible, por no decir inevitable con [Root.GetName], no hay sitio para la duda. Se trata de asegurar el futuro de nuestros hijos y que [From.GetName] tenga un lugar en el mundo del mañana. Se trata de un asunto de devoción a nuestra causa y los ideales que damos por sentado. Es hora de actuar."\n\nUna serie de discursos alborotadores de líderes del [From.GetRulingParty], destacando [From.GetLeader], han estado llamando al público a apoyar la invasión de [Root.GetName]. Los motivos geopolíticos tras la invasión son menos prominentes en la retórica al sentimiento patriótico, pero esta campaña aparece altamente eficaz para convencer al público de su necesidad."
 war_justification.220.a:0 "Mejor prepararnos. Habrá guerra."
 war_justification.301.t:0 "[Root.GetLeader] criticado por una débil política exterior."
 war_justification.301.d:0 ""Tuvimos la oportunidad de golpear contra nuestros enemigos, pero [Root.GetRulingParty] lo dejó pasar. Esto no es sólo otro caso condenatorio en una serie de oportunidades perdidas para fortalecer la posición de [Root.GetName] internacionalmente, es una señal de que su afirmación de actuar en interés del pueblo [Root.GetAdjective] es sobre todo retórica vacía. Es hora de un cambio de la política."\n\nNuestra incapacidad para buscar la guerra que muchos habían esperado ha sido objetivo de la mordaz crítica de nuestros oponentes políticos. No cumplir nuestros planes militares hará más difícil convencer a la gente en la dirección que llevamos en [Root.GetName]."
 war_justification.301.a:0 "¿No quieren evitar la guerra?"
 war_justification.301.b:0 "No hay espacio para el desacuerdo público fuera de reuniones del partido."
 war_justification.301.c:0 "¡No podemos permitir que nadie acuse a [Root.GetLeader] de cobardía!"
 nuke_dropped.1.t:0 "Bombardeo atómico de [From.From.GetName]"
 nuke_dropped.1.d:0 "Por primera, y espero que última vez en la historia, una bomba nuclear ha detonado en [From.From.GetName] como parte de la guerra internacional. La destrucción sin precedentes se erige como un testimonio del poder devastador de esta nueva arma, que se teme no sólo por lo que puede hacer a sus objetivos, sino qué implicaciones tiene para el que la implementa y para la propia humanidad.\n\nEl mundo contiene la respiración en espera de lo que vendrá a continuación. ¿Esto obligará a [From.From.Owner.GetName] a rendirse para evitar el terror, o sólo reforzará su determinación a responder contra quienes recurran a tales medidas?"
 nuke_dropped.1.a:0 "Realmente, la era Atómica ha comenzado."
 nuke_dropped.1.b:0 "Haremos lo que sea necesario para proteger al pueblo [Root.GetAdjective]."
 nuke_dropped.2.t:0 "Bombardeo atómico de Hiroshima"
